code,date,ret_pct
600104.SH,2020-04-30,-7.8049
600104.SH,2020-05-31,-5.1852
600104.SH,2020-06-30,-0.3106
600104.SH,2020-07-31,7.0041
600104.SH,2020-08-31,2.6403
600104.SH,2020-09-30,2.5188
600104.SH,2020-10-31,21.0141
600104.SH,2020-11-30,14.514
600104.SH,2020-12-31,-7.8084
600109.SH,2016-01-31,-30.5211
600109.SH,2016-02-29,1.5179
600109.SH,2016-03-31,26.9129
600109.SH,2016-04-30,-9.4941
600109.SH,2016-05-31,0.6126
600109.SH,2016-06-30,3.2174
600109.SH,2016-07-31,-4.2285
600109.SH,2016-08-31,3.9504
600109.SH,2016-09-30,-4.8435
600109.SH,2016-10-31,4.9334
600109.SH,2016-11-30,5.4478
600109.SH,2016-12-31,-7.7849
600109.SH,2017-01-31,2.6094
600109.SH,2017-02-28,-0.5236
600109.SH,2017-03-31,3.0075
600109.SH,2017-04-30,-3.2847
600109.SH,2017-05-31,-9.354
600109.SH,2017-06-30,-2.0067
600109.SH,2017-07-31,-4.8635
600109.SH,2017-08-31,7.4439
600109.SH,2017-09-30,-2.0868
600109.SH,2017-10-31,-8.2694
600109.SH,2017-11-30,0.5576
600109.SH,2017-12-31,-11.8299
600109.SH,2018-01-31,0.4193
600109.SH,2018-02-28,-11.2735
600109.SH,2018-03-31,-0.8235
600109.SH,2018-04-30,2.6097
600109.SH,2018-05-31,-9.3642
600109.SH,2018-06-30,-8.6414
600109.SH,2018-07-31,-0.7032
600109.SH,2018-08-31,-4.1076
600109.SH,2018-09-30,3.6928
600109.SH,2018-10-31,2.1368
600109.SH,2018-11-30,8.6471
600109.SH,2018-12-31,-8.0873
600109.SH,2019-01-31,6.4246
600109.SH,2019-02-28,29.1339
600109.SH,2019-03-31,9.1463
600109.SH,2019-04-30,-4.3762
600109.SH,2019-05-31,-11.0029
600109.SH,2019-06-30,6.8132
600109.SH,2019-07-31,-4.4239
600109.SH,2019-08-31,-5.4898
600109.SH,2019-09-30,-0.7973
600109.SH,2019-10-31,-2.2962
600109.SH,2019-11-30,-3.4078
600109.SH,2019-12-31,13.1387
600109.SH,2020-01-31,-5.0538
600109.SH,2020-02-29,13.2503
600109.SH,2020-03-31,-8.5
600109.SH,2020-04-30,6.1202
600109.SH,2020-05-31,1.3388
600109.SH,2020-06-30,16.4921
600109.SH,2020-07-31,26.468
600109.SH,2020-08-31,7.8309
600109.SH,2020-09-30,-1.7352
600109.SH,2020-10-31,-2.2891
600109.SH,2020-11-30,20.415
600109.SH,2020-12-31,-9.5609
600115.SH,2016-01-31,-20.3679
600115.SH,2016-02-29,-8.2508
600115.SH,2016-03-31,9.3525
600115.SH,2016-04-30,0.1645
600115.SH,2016-05-31,10.509
600115.SH,2016-06-30,-1.7831
600115.SH,2016-07-31,5.4463
600115.SH,2016-08-31,-6.5997
600115.SH,2016-09-30,-4.6083
600115.SH,2016-10-31,1.7713
600115.SH,2016-11-30,4.7468
600115.SH,2016-12-31,7.6017
600115.SH,2017-01-31,-2.546
600115.SH,2017-02-28,3.193
